operationtime,airline,flightnum,departureairport,arrivalairport,terminal,departure/arrival,origindate,codecontext,status_text,date,hour,weekday,is_weekend,route,status_group
2022-03-28 10:56:00,SF,1861,ORN,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,10,0,False,ORN-ALG,Arrived
2022-03-28 18:05:00,SF,1879,ORN,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,18,0,False,ORN-ALG,Arrived
2022-03-28 13:30:00,SF,1201,KRECHBA,ALG,1,Arrival,2022-03-28,ONB,Arrived,2022-03-28,13,0,False,KRECHBA-ALG,Arrived
2022-03-28 08:08:00,TO,7260,ORY,ALG,4,Arrival,2022-03-28,ONB,Arrived,2022-03-28,8,0,False,ORY-ALG,Arrived
2022-03-28 09:25:00,TO,7261,ALG,ORY,4,Departure,2022-03-28,OFB,Departed,2022-03-28,9,0,False,ALG-ORY,Departed
2022-03-27 10:12:00,BJ,130,TUN,ALG,1,Arrival,2022-03-27,ONB,Arrived,2022-03-27,10,6,True,TUN-ALG,Arrived
2022-03-27 11:25:00,BJ,131,ALG,TUN,1,Departure,2022-03-27,SCT,Scheduled_OnTime,2022-03-27,11,6,True,ALG-TUN,Scheduled_OnTime
2022-03-27 12:34:00,MS,845,CAI,ALG,1,Arrival,2022-03-27,ONB,Arrived,2022-03-27,12,6,True,CAI-ALG,Arrived
2022-03-27 12:55:00,MS,846,ALG,CAI,1,Departure,2022-03-27,OFB,Departed,2022-03-27,12,6,True,ALG-CAI,Departed
2022-03-27 13:38:00,QR,1379,DOH,ALG,1,Arrival,2022-03-27,ONB,Arrived,2022-03-27,13,6,True,DOH-ALG,Arrived
2022-03-27 15:20:00,QR,1380,ALG,DOH,1,Departure,2022-03-27,OFB,Departed,2022-03-27,15,6,True,ALG-DOH,Departed
2022-03-27 22:05:00,KLJ,4443,DLA,ALG,4,Arrival,2022-03-27,ONB,Arrived,2022-03-27,22,6,True,DLA-ALG,Arrived
2022-03-28 15:00:00,AH,4838,ALG,TUN,4,Departure,2022-03-28,OFB,Departed,2022-03-28,15,0,False,ALG-TUN,Departed
2022-03-28 16:45:00,AH,1011,ORY,ALG,4,Arrival,2022-03-28,ONB,Arrived,2022-03-28,16,0,False,ORY-ALG,Arrived
2022-03-28 16:05:00,AH,4839,TUN,ALG,4,Arrival,2022-03-28,ONB,Arrived,2022-03-28,16,0,False,TUN-ALG,Arrived
2022-03-28 08:50:00,AH,1501,HRM,ALG,1,Arrival,2022-03-28,SCT,Scheduled_OnTime,2022-03-28,8,0,False,HRM-ALG,Scheduled_OnTime
2022-03-29 18:15:00,SF,1802,ALG,HME,1,Departure,2022-03-29,OFB,Departed,2022-03-29,18,1,False,ALG-HME,Departed
2022-03-29 16:15:00,AH,6471,GHA,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,16,1,False,GHA-ALG,Arrived
2022-03-29 17:15:00,AF,362V,ORY,ALG,4,Arrival,2022-03-29,SCT,Scheduled_OnTime,2022-03-29,17,1,False,ORY-ALG,Scheduled_OnTime
2022-03-29 18:35:00,AF,7397,ALG,CDG,4,Departure,2022-03-29,SCT,Scheduled_OnTime,2022-03-29,18,1,False,ALG-CDG,Scheduled_OnTime
2022-03-29 09:30:00,SF,1124,ALG,HME,1,Departure,2022-03-29,OFB,Departed,2022-03-29,9,1,False,ALG-HME,Departed
2022-03-29 12:45:00,SF,1967,CZL,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,12,1,False,CZL-ALG,Arrived
2022-03-29 22:50:00,AH,6245,IAM,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,22,1,False,IAM-ALG,Arrived
2022-03-29 17:00:00,SF,1125,HME,ALG,1,Arrival,2022-03-29,ONB,Arrived,2022-03-29,17,1,False,HME-ALG,Arrived
2022-03-29 08:00:00,TO,7308,LYS,ALG,4,Arrival,2022-03-29,ONB,Arrived,2022-03-29,8,1,False,LYS-ALG,Arrived
