airline,route,airline_route,is_domestic,total_flights,Cancelled,Delayed,OnTime,ontime_rate,delayed_rate,cancelled_rate,cluster
TO,SXB-ALG,TO_SXB-ALG,False,53,0,4,49,92.45283018867924,7.547169811320755,0.0,1
TU,ALG-TUN,TU_ALG-TUN,False,973,103,95,775,79.65056526207606,9.763617677286742,10.585817060637206,1
TU,TUN-ALG,TU_TUN-ALG,False,964,103,27,834,86.51452282157676,2.8008298755186725,10.684647302904564,1
V7,ALG-BOD,V7_ALG-BOD,False,445,7,13,425,95.50561797752809,2.9213483146067416,1.5730337078651686,0
V7,BOD-ALG,V7_BOD-ALG,False,432,6,7,419,96.99074074074075,1.6203703703703702,1.3888888888888888,0
VY,ALC-ALG,VY_ALC-ALG,True,104,0,1,103,99.03846153846155,0.9615384615384616,0.0,0
VY,ALG-ALC,VY_ALG-ALC,True,104,2,3,99,95.1923076923077,2.8846153846153846,1.9230769230769231,0
VY,ALG-BCN,VY_ALG-BCN,False,430,4,13,413,96.04651162790697,3.0232558139534884,0.9302325581395349,0
VY,ALG-BOD,VY_ALG-BOD,False,47,0,16,31,65.95744680851064,34.04255319148936,0.0,1
VY,ALG-MRS,VY_ALG-MRS,False,633,47,7,579,91.4691943127962,1.1058451816745656,7.424960505529225,0
VY,BCN-ALG,VY_BCN-ALG,False,421,4,22,395,93.82422802850357,5.225653206650831,0.9501187648456058,0
VY,MRS-ALG,VY_MRS-ALG,False,633,46,7,580,91.62717219589257,1.1058451816745656,7.266982622432859,0
XY,ALG-JED,XY_ALG-JED,False,108,2,6,100,92.5925925925926,5.555555555555555,1.8518518518518516,0
XY,ALG-MED,XY_ALG-MED,False,193,1,17,175,90.67357512953367,8.808290155440414,0.5181347150259068,1
XY,JED-ALG,XY_JED-ALG,False,276,3,9,264,95.65217391304348,3.260869565217391,1.0869565217391304,0
