Operation time,Airline,Flight Num,Departure Airport,Arrival Airport ,Terminal,Departure / Arrival ,Origin Date,CodeContext
2024-05-27 15:57:00,AZ,800,FCO,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 16:55:00,AZ,801,ALG,FCO,4,Departure,2024-05-27,OFB
2024-05-27 19:30:00,SF,2203,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 11:35:00,AF,1854,CDG,ALG,4,Arrival,2024-05-27,DX
2024-05-27 12:55:00,AF,1855,ALG,CDG,4,Departure,2024-05-27,DX
2024-05-27 17:16:00,AF,7638,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 18:20:00,AF,7639,ALG,ORY,4,Departure,2024-05-27,SCT
2024-05-27 16:46:00,AH,2047,GVA,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 12:46:00,EK,757,DXB,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 19:36:00,SF,2111,CZL,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 13:18:00,SV,341,JED,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 15:35:00,SV,3366,ALG,MED,2,Departure,2024-05-27,OFB
2024-05-27 18:45:00,AH,6251,ELU,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 17:06:00,SF,1101,HME,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 15:40:00,QR,1380,ALG,DOH,4,Departure,2024-05-27,OFB
2024-05-27 13:33:00,TU,374,TUN,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 14:35:00,TU,375,ALG,TUN,4,Departure,2024-05-27,OFB
2024-05-27 15:45:00,EK,758,ALG,DXB,4,Departure,2024-05-27,OFB
2024-05-27 18:54:00,BA,2816,LGW,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 8:38:00,AF,7540,ORY,ALG,4,Arrival,2024-05-27,ONB
2024-05-27 9:55:00,AF,7541,ALG,ORY,4,Departure,2024-05-27,OFB
2024-05-27 18:13:00,SF,1201,HME,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 11:03:00,SF,1861,ORN,ALG,1,Arrival,2024-05-27,ONB
2024-05-27 20:10:00,BA,2817,ALG,LGW,4,Departure,2024-05-27,OFB
2024-05-27 13:50:00,AH,8023,MED,ALG,2,Arrival,2024-05-27,SCT
